"","Category","City","Country","Customer.Name","Discount","Number.of.Records","Order.Date","Order.ID","Postal.Code","Manufacturer","Product.Name","Profit","Quantity","Region","Sales","Segment","Ship.Date","Ship.Mode","State","Sub.Category"
"18","Office Supplies","West Jordan","United States","Alejandro Grove",0,1,"5/13/2015","CA-2015-167164",84084,"Fellowes","Fellowes Super Stor/Drawer",9.99,2,"West",55.5,"Consumer","5/15/2015","Second Class","Utah","Storage"
"19","Office Supplies","San Francisco","United States","Zuschuss Donatelli",0,1,"8/27/2015","CA-2015-143336",94109,"Newell","Newell 341",2.4824,2,"West",8.56,"Consumer","9/1/2015","Second Class","California","Art"
"20","Technology","San Francisco","United States","Zuschuss Donatelli",0.2,1,"8/27/2015","CA-2015-143336",94109,"Cisco","Cisco SPA 501G IP Phone",16.011,3,"West",213.48,"Consumer","9/1/2015","Second Class","California","Phones"
"21","Office Supplies","San Francisco","United States","Zuschuss Donatelli",0.2,1,"8/27/2015","CA-2015-143336",94109,"Wilson Jones","Wilson Jones Hanging View Binder, White, 1""",7.384,4,"West",22.72,"Consumer","9/1/2015","Second Class","California","Binders"
"22","Office Supplies","Fremont","United States","Ken Black",0,1,"12/9/2017","CA-2017-137330",68025,"Newell","Newell 318",5.0596,7,"Central",19.46,"Corporate","12/13/2017","Standard Class","Nebraska","Art"
"23","Office Supplies","Fremont","United States","Ken Black",0,1,"12/9/2017","CA-2017-137330",68025,"Acco","Acco Six-Outlet Power Strip, 4' Cord Length",15.6884,7,"Central",60.34,"Corporate","12/13/2017","Standard Class","Nebraska","Appliances"
"24","Furniture","Philadelphia","United States","Sandra Flanagan",0.3,1,"7/16/2018","US-2018-156909",19140,"Global","Global Deluxe Stacking Chair, Gray",-1.0196,2,"East",71.372,"Consumer","7/18/2018","Second Class","Pennsylvania","Chairs"
"25","Furniture","Orem","United States","Emily Burns",0,1,"9/25/2016","CA-2016-106320",84057,"Bretford","Bretford CR4500 Series Slim Rectangular Table",240.2649,3,"West",1044.63,"Consumer","9/30/2016","Standard Class","Utah","Tables"
"26","Office Supplies","Los Angeles","United States","Eric Hoffmann",0.2,1,"1/16/2017","CA-2017-121755",90049,"Wilson Jones","Wilson Jones Active Use Binders",4.2224,2,"West",11.648,"Consumer","1/20/2017","Second Class","California","Binders"
"27","Technology","Los Angeles","United States","Eric Hoffmann",0,1,"1/16/2017","CA-2017-121755",90049,"Other","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",11.7741,3,"West",90.57,"Consumer","1/20/2017","Second Class","California","Accessories"
"28","Furniture","Philadelphia","United States","Tracy Blumstein",0.5,1,"9/17/2016","US-2016-150630",19140,"Riverside","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-1665.0522,7,"East",3083.43,"Consumer","9/21/2016","Standard Class","Pennsylvania","Bookcases"
"29","Office Supplies","Philadelphia","United States","Tracy Blumstein",0.7,1,"9/17/2016","US-2016-150630",19140,"Avery","Avery Recycled Flexi-View Covers for Binding Systems",-7.0532,2,"East",9.618,"Consumer","9/21/2016","Standard Class","Pennsylvania","Binders"
"30","Furniture","Philadelphia","United States","Tracy Blumstein",0.2,1,"9/17/2016","US-2016-150630",19140,"Howard Miller","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",15.525,3,"East",124.2,"Consumer","9/21/2016","Standard Class","Pennsylvania","Furnishings"
"31","Office Supplies","Philadelphia","United States","Tracy Blumstein",0.2,1,"9/17/2016","US-2016-150630",19140,"Poly","Poly String Tie Envelopes",1.1016,2,"East",3.264,"Consumer","9/21/2016","Standard Class","Pennsylvania","Envelopes"
"32","Office Supplies","Philadelphia","United States","Tracy Blumstein",0.2,1,"9/17/2016","US-2016-150630",19140,"Boston","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9.7092,6,"East",86.304,"Consumer","9/21/2016","Standard Class","Pennsylvania","Art"
"33","Office Supplies","Philadelphia","United States","Tracy Blumstein",0.7,1,"9/17/2016","US-2016-150630",19140,"Acco","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-5.715,6,"East",6.858,"Consumer","9/21/2016","Standard Class","Pennsylvania","Binders"
"34","Office Supplies","Philadelphia","United States","Tracy Blumstein",0.2,1,"9/17/2016","US-2016-150630",19140,"Other","Lumber Crayons",3.546,2,"East",15.76,"Consumer","9/21/2016","Standard Class","Pennsylvania","Art"
"35","Office Supplies","Houston","United States","Matt Abelman",0.2,1,"10/19/2018","CA-2018-107727",77095,"Easy-staple paper","Easy-staple paper",9.9468,3,"Central",29.472,"Home Office","10/23/2018","Second Class","Texas","Paper"
"36","Technology","Richardson","United States","Gene Hale",0.2,1,"12/8/2017","CA-2017-117590",75080,"GE","GE 30524EE4",123.4737,7,"Central",1097.544,"Corporate","12/10/2017","First Class","Texas","Phones"
"37","Furniture","Richardson","United States","Gene Hale",0.6,1,"12/8/2017","CA-2017-117590",75080,"Electrix","Electrix Architect's Clamp-On Swing Arm Lamp, Black",-147.963,5,"Central",190.92,"Corporate","12/10/2017","First Class","Texas","Furnishings"
"38","Office Supplies","Houston","United States","Steve Nguyen",0.2,1,"12/27/2016","CA-2016-117415",77041,"Other","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",35.415,9,"Central",113.328,"Home Office","12/31/2016","Standard Class","Texas","Envelopes"
"39","Furniture","Houston","United States","Steve Nguyen",0.32,1,"12/27/2016","CA-2016-117415",77041,"Atlantic","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-46.9764,3,"Central",532.3992,"Home Office","12/31/2016","Standard Class","Texas","Bookcases"
"40","Furniture","Houston","United States","Steve Nguyen",0.3,1,"12/27/2016","CA-2016-117415",77041,"Global","Global Fabric Manager's Chair, Dark Gray",-15.147,3,"Central",212.058,"Home Office","12/31/2016","Standard Class","Texas","Chairs"
"41","Technology","Houston","United States","Steve Nguyen",0.2,1,"12/27/2016","CA-2016-117415",77041,"Plantronics","Plantronics HL10 Handset Lifter",41.7564,4,"Central",371.168,"Home Office","12/31/2016","Standard Class","Texas","Phones"
"42","Technology","Naperville","United States","Linda Cazamias",0.2,1,"9/10/2018","CA-2018-120999",60540,"Panasonic","Panasonic Kx-TS550",16.5564,4,"Central",147.168,"Corporate","9/15/2018","Standard Class","Illinois","Phones"
"43","Office Supplies","Los Angeles","United States","Ruben Ausman",0,1,"7/17/2017","CA-2017-101343",90049,"Eldon","Eldon Base for stackable storage shelf, platinum",3.894,2,"West",77.88,"Corporate","7/22/2017","Standard Class","California","Storage"
"44","Office Supplies","Melbourne","United States","Erin Smith",0.2,1,"9/19/2018","CA-2018-139619",32935,"Advantus","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",9.5616,2,"South",95.616,"Corporate","9/23/2018","Standard Class","Florida","Storage"
"45","Technology","Eagan","United States","Odella Nelson",0,1,"3/11/2017","CA-2017-118255",55122,"Verbatim","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",19.7714,2,"Central",45.98,"Corporate","3/13/2017","First Class","Minnesota","Accessories"
"46","Office Supplies","Eagan","United States","Odella Nelson",0,1,"3/11/2017","CA-2017-118255",55122,"Wilson Jones","Wilson Jones Leather-Like Binders with DublLock Round Rings",8.2062,2,"Central",17.46,"Corporate","3/13/2017","First Class","Minnesota","Binders"
"47","Office Supplies","Westland","United States","Patrick O'Donnell",0,1,"10/20/2015","CA-2015-146703",48185,"Gould Plastics","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8.4784,4,"Central",211.96,"Consumer","10/25/2015","Second Class","Michigan","Storage"
"48","Technology","Dover","United States","Lena Hernandez",0,1,"6/20/2017","CA-2017-169194",19901,"Imation","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",4.95,3,"East",45,"Consumer","6/25/2017","Standard Class","Delaware","Accessories"
"49","Technology","Dover","United States","Lena Hernandez",0,1,"6/20/2017","CA-2017-169194",19901,"Other","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6.104,2,"East",21.8,"Consumer","6/25/2017","Standard Class","Delaware","Phones"
"50","Office Supplies","New Albany","United States","Darren Powers",0,1,"4/18/2016","CA-2016-115742",47150,"C-Line","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",17.9634,6,"Central",38.22,"Consumer","4/22/2016","Standard Class","Indiana","Binders"
"51","Office Supplies","New Albany","United States","Darren Powers",0,1,"4/18/2016","CA-2016-115742",47150,"Avery","Avery 485",35.3346,6,"Central",75.18,"Consumer","4/22/2016","Standard Class","Indiana","Labels"
"52","Furniture","New Albany","United States","Darren Powers",0,1,"4/18/2016","CA-2016-115742",47150,"Other","Longer-Life Soft White Bulbs",2.9568,2,"Central",6.16,"Consumer","4/22/2016","Standard Class","Indiana","Furnishings"
"53","Furniture","New Albany","United States","Darren Powers",0,1,"4/18/2016","CA-2016-115742",47150,"Global","Global Leather Task Chair, Black",17.0981,1,"Central",89.99,"Consumer","4/22/2016","Standard Class","Indiana","Chairs"
"54","Office Supplies","New York City","United States","Janet Molinari",0,1,"12/11/2017","CA-2017-105816",10024,"Advantus","Advantus Push Pins",6.2566,7,"East",15.26,"Corporate","12/17/2017","Standard Class","New York","Fasteners"
"55","Technology","New York City","United States","Janet Molinari",0,1,"12/11/2017","CA-2017-105816",10024,"AT&T","AT&T CL83451 4-Handset Telephone",298.6855,5,"East",1029.95,"Corporate","12/17/2017","Standard Class","New York","Phones"
"56","Office Supplies","Troy","United States","Ted Butterfield",0,1,"6/17/2017","CA-2017-111682",12180,"Other","Home/Office Personal File Carts",52.14,6,"East",208.56,"Consumer","6/18/2017","First Class","New York","Storage"
"57","Office Supplies","Troy","United States","Ted Butterfield",0,1,"6/17/2017","CA-2017-111682",12180,"Xerox","Xerox 232",15.552,5,"East",32.4,"Consumer","6/18/2017","First Class","New York","Paper"
"58","Furniture","Troy","United States","Ted Butterfield",0.1,1,"6/17/2017","CA-2017-111682",12180,"Novimex","Novimex Turbo Task Chair",7.098,5,"East",319.41,"Consumer","6/18/2017","First Class","New York","Chairs"
"59","Office Supplies","Troy","United States","Ted Butterfield",0,1,"6/17/2017","CA-2017-111682",12180,"Array","Array Parchment Paper, Assorted Colors",6.9888,2,"East",14.56,"Consumer","6/18/2017","First Class","New York","Paper"
"60","Technology","Troy","United States","Ted Butterfield",0,1,"6/17/2017","CA-2017-111682",12180,"Imation","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",3.3,2,"East",30,"Consumer","6/18/2017","First Class","New York","Accessories"
"61","Office Supplies","Troy","United States","Ted Butterfield",0.2,1,"6/17/2017","CA-2017-111682",12180,"Other","Plastic Binding Combs",16.362,4,"East",48.48,"Consumer","6/18/2017","First Class","New York","Binders"
"62","Office Supplies","Troy","United States","Ted Butterfield",0,1,"6/17/2017","CA-2017-111682",12180,"Prang","Prang Dustless Chalk Sticks",0.84,1,"East",1.68,"Consumer","6/18/2017","First Class","New York","Art"
"63","Technology","Los Angeles","United States","Kunst Miller",0,1,"11/24/2016","CA-2016-135545",90004,"Verbatim","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6.1512,2,"West",13.98,"Consumer","11/30/2016","Standard Class","California","Accessories"
"64","Office Supplies","Los Angeles","United States","Kunst Miller",0.2,1,"11/24/2016","CA-2016-135545",90004,"Acco","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9.3612,6,"West",25.824,"Consumer","11/30/2016","Standard Class","California","Binders"
"65","Office Supplies","Los Angeles","United States","Kunst Miller",0,1,"11/24/2016","CA-2016-135545",90004,"Xerox","Xerox 1943",68.9631,3,"West",146.73,"Consumer","11/30/2016","Standard Class","California","Paper"
"66","Furniture","Los Angeles","United States","Kunst Miller",0,1,"11/24/2016","CA-2016-135545",90004,"Luxo","Luxo Economy Swing Arm Lamp",22.3328,4,"West",79.76,"Consumer","11/30/2016","Standard Class","California","Furnishings"
"67","Furniture","Chicago","United States","Paul Stevenson",0.3,1,"4/30/2016","US-2016-164175",60610,"Global","Global Value Mid-Back Manager's Chair, Gray",-15.2225,5,"Central",213.115,"Home Office","5/5/2016","Standard Class","Illinois","Chairs"
"68","Office Supplies","Gilbert","United States","Brendan Sweed",0.2,1,"12/5/2015","CA-2015-106376",85234,"Hunt","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111.3024,8,"West",1113.024,"Corporate","12/10/2015","Standard Class","Arizona","Art"
"69","Technology","Gilbert","United States","Brendan Sweed",0.2,1,"12/5/2015","CA-2015-106376",85234,"Other","netTALK DUO VoIP Telephone Service",62.988,4,"West",167.968,"Corporate","12/10/2015","Standard Class","Arizona","Phones"
"70","Office Supplies","Springfield","United States","Karen Daniels",0,1,"6/4/2017","CA-2017-119823",22153,"Other","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",35.6636,2,"South",75.88,"Consumer","6/6/2017","First Class","Virginia","Paper"
"71","Office Supplies","New York City","United States","Henry MacAllister",0.2,1,"9/18/2017","CA-2017-106075",10009,"Avery","Avery Binding System Hidden Tab Executive Style Index Sets",1.731,1,"East",4.616,"Consumer","9/23/2017","Standard Class","New York","Binders"
"72","Office Supplies","Jackson","United States","Tracy Blumstein",0,1,"9/14/2018","CA-2018-114440",49201,"Other","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,"Central",19.05,"Consumer","9/17/2018","Second Class","Michigan","Paper"
"73","Furniture","Memphis","United States","Joel Eaton",0.2,1,"4/26/2016","US-2016-134026",38109,"Other","High-Back Leather Manager's Chair",-114.3912,8,"South",831.936,"Consumer","5/2/2016","Standard Class","Tennessee","Chairs"
"74","Furniture","Memphis","United States","Joel Eaton",0.2,1,"4/26/2016","US-2016-134026",38109,"Tenex","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1.213,2,"South",97.04,"Consumer","5/2/2016","Standard Class","Tennessee","Furnishings"
"75","Office Supplies","Memphis","United States","Joel Eaton",0.2,1,"4/26/2016","US-2016-134026",38109,"SAFCO","Safco Industrial Wire Shelving System",-18.196,1,"South",72.784,"Consumer","5/2/2016","Standard Class","Tennessee","Storage"
"76","Office Supplies","Houston","United States","Ken Brennan",0.8,1,"12/9/2018","US-2018-118038",77041,"Other","Economy Binders",-1.9344,3,"Central",1.248,"Corporate","12/11/2018","First Class","Texas","Binders"
"77","Furniture","Houston","United States","Ken Brennan",0.6,1,"12/9/2018","US-2018-118038",77041,"Other","6"" Cubicle Wall Clock, Black",-5.8248,3,"Central",9.708,"Corporate","12/11/2018","First Class","Texas","Furnishings"
"78","Office Supplies","Houston","United States","Ken Brennan",0.2,1,"12/9/2018","US-2018-118038",77041,"Other","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2.724,3,"Central",27.24,"Corporate","12/11/2018","First Class","Texas","Storage"
"79","Furniture","Houston","United States","Joel Eaton",0.6,1,"11/26/2015","US-2015-147606",77070,"Eldon","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-14.475,5,"Central",19.3,"Consumer","12/1/2015","Second Class","Texas","Furnishings"
"80","Office Supplies","Decatur","United States","Stewart Carmichael",0,1,"6/12/2017","CA-2017-127208",35601,"Other","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",56.2032,1,"South",208.16,"Corporate","6/15/2017","First Class","Alabama","Appliances"
"81","Office Supplies","Decatur","United States","Stewart Carmichael",0,1,"6/12/2017","CA-2017-127208",35601,"Avery","Avery Heavy-Duty EZD  Binder With Locking Rings",8.0352,3,"South",16.74,"Corporate","6/15/2017","First Class","Alabama","Binders"
"82","Office Supplies","San Francisco","United States","Duane Noonan",0,1,"10/12/2015","CA-2015-139451",94122,"Other","Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.172,5,"West",14.9,"Consumer","10/16/2015","Standard Class","California","Art"
"83","Office Supplies","San Francisco","United States","Duane Noonan",0,1,"10/12/2015","CA-2015-139451",94122,"Other","Sortfiler Multipurpose Personal File Organizer, Black",6.2031,1,"West",21.39,"Consumer","10/16/2015","Standard Class","California","Storage"
"84","Office Supplies","Durham","United States","Julie Creighton",0.2,1,"9/3/2016","CA-2016-149734",27707,"Other","Jet-Pak Recycled Peel 'N' Seal Padded Mailers",62.8075,7,"South",200.984,"Corporate","9/8/2016","Standard Class","North Carolina","Envelopes"
"85","Office Supplies","Chicago","United States","Christopher Schild",0.2,1,"11/13/2018","US-2018-119662",60623,"SAFCO","Safco Industrial Wire Shelving",-48.9549,3,"Central",230.376,"Home Office","11/16/2018","First Class","Illinois","Storage"
"86","Furniture","Columbia","United States","Patrick O'Donnell",0,1,"5/28/2018","CA-2018-140088",29203,"Novimex","Novimex Swivel Fabric Task Chair",33.2156,2,"South",301.96,"Consumer","5/30/2018","Second Class","South Carolina","Chairs"
"87","Technology","Rochester","United States","Paul Gonzalez",0,1,"10/26/2018","CA-2018-155558",55901,"Logitech","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",6.7966,1,"Central",19.99,"Consumer","11/2/2018","Standard Class","Minnesota","Accessories"
"88","Office Supplies","Rochester","United States","Paul Gonzalez",0,1,"10/26/2018","CA-2018-155558",55901,"Avery","Avery 511",2.9568,2,"Central",6.16,"Consumer","11/2/2018","Standard Class","Minnesota","Labels"
"89","Office Supplies","Houston","United States","Gary Mitchum",0.2,1,"4/5/2017","CA-2017-159695",77095,"Eldon","Eldon Portable Mobile Manager",13.8572,7,"Central",158.368,"Home Office","4/10/2017","Second Class","Texas","Storage"
"90","Office Supplies","Los Angeles","United States","Jim Sink",0,1,"9/17/2017","CA-2017-109806",90036,"Other","Turquoise Lead Holder with Pocket Clip",6.633,3,"West",20.1,"Corporate","9/22/2017","Standard Class","California","Art"
"91","Technology","Los Angeles","United States","Jim Sink",0.2,1,"9/17/2017","CA-2017-109806",90036,"Panasonic","Panasonic Kx-TS550",8.2782,2,"West",73.584,"Corporate","9/22/2017","Standard Class","California","Phones"
"92","Office Supplies","Los Angeles","United States","Jim Sink",0,1,"9/17/2017","CA-2017-109806",90036,"Xerox","Xerox 1995",3.1104,1,"West",6.48,"Corporate","9/22/2017","Standard Class","California","Paper"
"93","Office Supplies","Minneapolis","United States","Karl Braun",0,1,"1/31/2016","CA-2016-149587",55407,"Xerox","Xerox 1999",6.2208,2,"Central",12.96,"Consumer","2/5/2016","Second Class","Minnesota","Paper"
"94","Furniture","Minneapolis","United States","Karl Braun",0,1,"1/31/2016","CA-2016-149587",55407,"Seth Thomas","Seth Thomas 13 1/2"" Wall Clock",16.5354,3,"Central",53.34,"Consumer","2/5/2016","Second Class","Minnesota","Furnishings"
"95","Office Supplies","Minneapolis","United States","Karl Braun",0,1,"1/31/2016","CA-2016-149587",55407,"Ibico","Ibico Standard Transparent Covers",16.1504,2,"Central",32.96,"Consumer","2/5/2016","Second Class","Minnesota","Binders"
"96","Office Supplies","Portland","United States","Roger Barcio",0.7,1,"11/6/2018","US-2018-109484",97206,"Other","Flexible Leather- Look Classic Collection Ring Binder",-3.788,1,"West",5.682,"Home Office","11/12/2018","Standard Class","Oregon","Binders"
"97","Furniture","New York City","United States","Parhena Norris",0,1,"11/9/2018","CA-2018-161018",10009,"Other","9-3/4 Diameter Round Wall Clock",40.5426,7,"East",96.53,"Home Office","11/11/2018","Second Class","New York","Furnishings"
"98","Office Supplies","San Francisco","United States","Katherine Ducich",0.2,1,"6/17/2018","CA-2018-157833",94122,"Other","Trimflex Flexible Post Binders",17.9592,3,"West",51.312,"Consumer","6/20/2018","First Class","California","Binders"
"99","Office Supplies","Saint Paul","United States","Elpida Rittenbach",0,1,"9/6/2017","CA-2017-149223",55106,"Fellowes","Fellowes Basic Home/Office Series Surge Protectors",22.5852,6,"Central",77.88,"Corporate","9/11/2017","Standard Class","Minnesota","Appliances"
"100","Office Supplies","Chicago","United States","Rick Bensley",0.2,1,"8/29/2017","CA-2017-158568",60610,"Avery","Avery Personal Creations Heavyweight Cards",22.6184,7,"Central",64.624,"Home Office","9/2/2017","Standard Class","Illinois","Paper"
"101","Technology","Chicago","United States","Rick Bensley",0.2,1,"8/29/2017","CA-2017-158568",60610,"SanDisk","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",-10.7973,3,"Central",95.976,"Home Office","9/2/2017","Standard Class","Illinois","Accessories"
"102","Office Supplies","Chicago","United States","Rick Bensley",0.8,1,"8/29/2017","CA-2017-158568",60610,"Avery","Avery Hidden Tab Dividers for Binding Systems",-3.0396,3,"Central",1.788,"Home Office","9/2/2017","Standard Class","Illinois","Binders"
"103","Office Supplies","Rochester","United States","Gary Zandusky",0,1,"12/1/2017","CA-2017-129903",55901,"Universal","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",11.7208,4,"Central",23.92,"Consumer","12/4/2017","Second Class","Minnesota","Paper"
"104","Technology","Aurora","United States","Lena Cacioppo",0.2,1,"11/13/2016","US-2016-156867",80013,"Logitech","Logitech K350 2.4Ghz Wireless Keyboard",-26.8758,6,"West",238.896,"Consumer","11/17/2016","Standard Class","Colorado","Accessories"
"105","Furniture","Aurora","United States","Lena Cacioppo",0.2,1,"11/13/2016","US-2016-156867",80013,"Deflect-o","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",-3.8385,3,"West",102.36,"Consumer","11/17/2016","Standard Class","Colorado","Furnishings"
"106","Office Supplies","Aurora","United States","Lena Cacioppo",0.7,1,"11/13/2016","US-2016-156867",80013,"Avery","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-25.8174,3,"West",36.882,"Consumer","11/17/2016","Standard Class","Colorado","Binders"
"107","Technology","Charlotte","United States","Janet Martin",0.2,1,"11/23/2018","CA-2018-119004",28205,"Memorex","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",17.6016,8,"South",74.112,"Consumer","11/28/2018","Standard Class","North Carolina","Accessories"
"108","Technology","Charlotte","United States","Janet Martin",0.2,1,"11/23/2018","CA-2018-119004",28205,"Other","Speck Products Candyshell Flip Case",2.0994,1,"South",27.992,"Consumer","11/28/2018","Standard Class","North Carolina","Phones"
"109","Office Supplies","Charlotte","United States","Janet Martin",0.2,1,"11/23/2018","CA-2018-119004",28205,"Newell","Newell Chalk Holder",1.0738,1,"South",3.304,"Consumer","11/28/2018","Standard Class","North Carolina","Art"
"110","Technology","Orland Park","United States","Pete Armstrong",0.2,1,"10/15/2016","CA-2016-129476",60462,"Logitech","Logitech Gaming G510s - Keyboard",67.992,5,"Central",339.96,"Home Office","10/20/2016","Standard Class","Illinois","Accessories"
"111","Furniture","New York City","United States","Cynthia Voltz",0,1,"12/25/2018","CA-2018-146780",10035,"Other","Magnifier Swing Arm Lamp",10.9096,2,"East",41.96,"Corporate","12/30/2018","Standard Class","New York","Furnishings"
"112","Office Supplies","Urbandale","United States","Clay Ludtke",0,1,"11/3/2017","CA-2017-128867",50322,"Hunt","Hunt PowerHouse Electric Pencil Sharpener, Blue",22.788,2,"Central",75.96,"Consumer","11/10/2017","Standard Class","Iowa","Art"
